Epoch,loss,accuracy,val_loss,val_accuracy,lr
0,4.6021,0.2444,3.4803,0.3467,0.001
1,2.3346,0.611,2.7329,0.5586,0.001
2,1.9489,0.699,2.3922,0.5957,0.001
3,1.7779,0.7407,3.214,0.4567,0.001
4,1.5498,0.7768,2.0084,0.7032,0.001
5,1.4229,0.8004,1.7768,0.7174,0.001
6,1.3052,0.8186,2.5871,0.5919,0.001
7,1.2298,0.8317,1.979,0.7152,0.001
8,1.166,0.8412,27.3846,0.1696,0.001
9,1.1143,0.8509,2.1467,0.6869,0.001
10,1.0753,0.8575,1.7619,0.7346,0.001
11,1.0388,0.8644,1.4903,0.772,0.001
12,1.0164,0.8686,1.4561,0.7883,0.001
13,0.9796,0.8752,1.5612,0.7621,0.001
14,0.9669,0.8778,1.4475,0.7833,0.001
15,0.954,0.8819,1.6054,0.7533,0.001
16,0.9371,0.8847,1.4831,0.7858,0.001
17,0.9219,0.8879,1.497,0.7751,0.001
18,0.9112,0.8904,1.5015,0.779,0.001
19,0.9025,0.8914,1.5858,0.7804,0.001
20,0.8941,0.8941,1.5006,0.787,0.001
21,0.8796,0.8977,1.6254,0.7631,0.001
22,0.8803,0.8977,1.4801,0.7939,0.001
23,0.868,0.8998,1.7233,0.7516,0.001
24,0.8593,0.9023,1.5296,0.7923,0.001
25,0.8607,0.9022,1.5619,0.7777,0.001
26,0.8539,0.9037,1.4909,0.7885,0.001
27,0.8461,0.9054,1.5245,0.7859,0.001
28,0.843,0.9056,1.6006,0.7847,0.001
29,0.8373,0.9079,1.5019,0.7923,0.001
30,0.8398,0.9068,1.4817,0.793,0.001
31,0.8258,0.9096,1.5602,0.7776,0.001
32,0.8213,0.911,1.4934,0.7959,0.001
33,0.8195,0.9111,1.5084,0.7991,0.001
34,0.8135,0.9123,1.5623,0.7827,0.001
35,0.8076,0.9135,1.5171,0.7925,0.001
36,0.8046,0.9132,1.5323,0.7966,0.001
37,0.8078,0.9125,1.5053,0.7808,0.001
38,0.7957,0.9149,1.6578,0.7766,0.001
39,0.7951,0.9146,1.6003,0.781,0.001
40,0.7932,0.914,1.4665,0.805,0.001
41,0.7895,0.9157,1.6099,0.7835,0.001
42,0.7855,0.9156,1.5415,0.7946,0.001
43,0.7866,0.9164,1.5018,0.8046,0.001
44,0.7795,0.9174,1.5224,0.7912,0.001
45,0.771,0.9189,1.7026,0.7835,0.001
46,0.7776,0.9173,1.4558,0.8086,0.001
47,0.7696,0.9193,1.485,0.7956,0.001
48,0.7773,0.9175,1.5219,0.8011,0.001
49,0.7641,0.9197,1.535,0.7932,0.001
50,0.7656,0.9194,1.6702,0.7936,0.001
51,0.763,0.9208,1.5108,0.8032,0.001
52,0.7602,0.9201,1.538,0.7985,0.001
53,0.7518,0.9214,1.4937,0.8052,0.001
54,0.7584,0.9207,1.467,0.8034,0.001
55,0.7535,0.9214,1.4764,0.8015,0.001
56,0.7467,0.9229,1.5876,0.7969,0.001
57,0.6089,0.9515,1.397,0.8233,0.0005
58,0.534,0.9589,1.3663,0.8262,0.0005
59,0.5006,0.9599,1.4371,0.8172,0.0005
60,0.4762,0.961,1.3549,0.8234,0.0005
61,0.4665,0.9605,1.3694,0.8268,0.0005
62,0.4498,0.9622,1.3422,0.8228,0.0005
63,0.4441,0.9616,1.3533,0.8254,0.0005
64,0.4408,0.9612,1.3475,0.8244,0.0005
65,0.4324,0.9617,1.3699,0.817,0.0005
66,0.4304,0.9622,1.3179,0.8225,0.0005
67,0.4246,0.9623,1.4493,0.8186,0.0005
68,0.4222,0.9629,1.3333,0.8222,0.0005
69,0.4228,0.9621,1.3874,0.8203,0.0005
70,0.4158,0.9631,1.3663,0.8256,0.0005
71,0.4132,0.9632,1.4808,0.8105,0.0005
72,0.3593,0.977,1.3776,0.8336,0.00025
73,0.3246,0.982,1.3709,0.8356,0.00025
74,0.3096,0.9828,1.3656,0.8309,0.00025
75,0.2949,0.9836,1.3697,0.8299,0.00025
76,0.2854,0.9839,1.4043,0.8318,0.00025
77,0.2766,0.9841,1.3528,0.8336,0.00025
78,0.2703,0.9839,1.4101,0.8302,0.00025
79,0.2638,0.984,1.413,0.8277,0.00025
80,0.2612,0.9835,1.418,0.8256,0.00025
81,0.2569,0.9836,1.3666,0.829,0.00025
82,0.254,0.9839,1.3516,0.8298,0.00025
83,0.2501,0.9836,1.3972,0.8302,0.00025
84,0.2264,0.9896,1.3849,0.8364,0.000125
85,0.2137,0.9912,1.3681,0.8395,0.000125
86,0.2066,0.9918,1.3232,0.8398,0.000125
87,0.1992,0.9924,1.3657,0.837,0.000125
88,0.1945,0.9929,1.3728,0.8379,0.000125
89,0.1877,0.9931,1.3837,0.8392,0.000125
90,0.1831,0.9933,1.3912,0.8357,0.000125
91,0.1797,0.9932,1.3975,0.8377,0.000125
92,0.1771,0.9928,1.3637,0.8381,0.000125
93,0.1735,0.9929,1.3973,0.8354,0.000125
94,0.1689,0.9933,1.3915,0.8401,0.000125
95,0.1678,0.9929,1.3838,0.8392,0.000125
96,0.1648,0.9929,1.3829,0.8346,0.000125
97,0.1629,0.9927,1.3726,0.8381,0.000125
98,0.1606,0.9928,1.4283,0.8379,0.000125
99,0.1581,0.9928,1.382,0.838,0.000125
100,0.1564,0.9926,1.3715,0.8383,0.000125
101,0.1544,0.9929,1.3641,0.8348,0.000125
102,0.1525,0.9933,1.3543,0.8336,0.000125
103,0.1512,0.9926,1.3441,0.8353,0.000125
104,0.1507,0.9928,1.3972,0.8376,0.000125
105,0.1448,0.9937,1.3762,0.8404,0.0001
